text,category
Де моя нова карта? Пройшло вже 10 днів.,Billing
Чи можна відкрити рахунок для студента?,Billing
Хочу повернення коштів за помилковий платіж.,Card Issues
Де моя нова карта? Пройшло вже 10 днів.,Billing
Негайно заблокуйте мою карту!,Fraud/Security
"Чому зняли більше грошей, ніж повинно було?",Billing
Карту заблоковано без причини.,Card Issues
Хочу закрити свій рахунок.,General Inquiry
Я не впізнаю цю транзакцію в своєму виписці.,Billing
Де знайти налаштування мови в додатку?,General Inquiry
Як оновити номер телефону в акаунті?,General Inquiry
Який графік роботи відділення в неділю?,General Inquiry
Чи безпечно користуватись вашим додатком?,Fraud/Security
Хочу повернення коштів за помилковий платіж.,Billing
Хочу повернення коштів за помилковий платіж.,Billing
Негайно заблокуйте мою карту!,Fraud/Security
Код підтвердження не приходить.,Access/Login
Який графік роботи відділення в неділю?,General Inquiry
Я не впізнаю цю транзакцію в своєму виписці.,Billing
Моя карта не працює в банкоматі.,Card Issues
Негайно заблокуйте мою карту!,Fraud/Security
Мені списали двічі за одну покупку.,Billing
Хочу закрити свій рахунок.,General Inquiry
Не можу увійти в додаток.,Access/Login
Не працює вхід в онлайн банкінг.,Access/Login
Коли прийде відшкодування за скасоване замовлення?,Billing
"Чому зняли більше грошей, ніж повинно було?",Billing
Хтось скористався моєю картою без дозволу!,Fraud/Security
Моя карта не працює в банкоматі.,Card Issues
Не вдається активувати нову карту.,Card Issues
Моя карта не працює в банкоматі.,Card Issues
Чи можна відкрити рахунок для студента?,General Inquiry
Не можу увійти в додаток.,Access/Login
Не вдається активувати нову карту.,Card Issues
Як оновити номер телефону в акаунті?,General Inquiry
Відхилено оплату картою в магазині.,Card Issues
Забув пароль і не можу його скинути.,Access/Login
Карту заблоковано без причини.,Card Issues
Чи безпечно користуватись вашим додатком?,Fraud/Security
Мені списали двічі за одну покупку.,Billing
Карту заблоковано без причини.,Card Issues
Як оновити номер телефону в акаунті?,General Inquiry
Хочу закрити свій рахунок.,General Inquiry
"Підозріла транзакція вночі, це не я.",Fraud/Security
Не вдається активувати нову карту.,Card Issues
Забув пароль і не можу його скинути.,Access/Login
Не працює вхід в онлайн банкінг.,Access/Login
Коли прийде відшкодування за скасоване замовлення?,Billing
Відхилено оплату картою в магазині.,Card Issues
Хочу повернення коштів за помилковий платіж.,Billing
